ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,ADDRESSLINE2,CITY,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10194,42,100,7290.36,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.","2, rue du Commerce",,Lyon,69004,France,EMEA,Saveley,Mary,Large
10206,47,100,9064.89,12/5/2003 0:00,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,1900 Oak St.,,Vancouver,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large
10215,35,100,6075.3,1/29/2004 0:00,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3675 Furth Circle,,Burbank,94019,USA,NA,Thompson,Steve,Medium
10228,29,100,6463.23,3/10/2004 0:00,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,4658 Baden Av.,,Cambridge,51247,USA,NA,Tseng,Kyung,Medium
10245,34,100,6120.34,5/4/2004 0:00,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,567 North Pendale Street,,New Haven,97823,USA,NA,Murphy,Leslie,Medium
10258,32,100,7680.64,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",2-2-8 Roppongi,,Minato-ku,106-0032,Japan,Japan,Shimamura,Akiko,Large
10270,21,100,4905.39,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,2067,Australia,APAC,Huxley,Adrian,Medium
10280,34,100,8014.82,8/17/2004 0:00,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,Via Monte Bianco 34,,Torino,10100,Italy,EMEA,Accorti,Paolo,Large
10291,37,100,7136.19,9/8/2004 0:00,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,?kergatan 24,,Boras,S-844 67,Sweden,EMEA,Larsson,Maria,Large
10304,47,100,10172.7,10/11/2004 0:00,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,"67, avenue de l'Europe",,Versailles,78000,France,EMEA,Tonini,Daniel,Large
10312,48,100,11623.7,10/21/2004 0:00,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,5677 Strong St.,,San Rafael,97562,USA,NA,Nelson,Valarie,Large
10322,40,100,6000.4,11/4/2004 0:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,2304 Long Airport Avenue,,Nashua,62005,USA,NA,Young,Valarie,Medium
10333,26,100,3003,11/18/2004 0:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,5557 North Pendale Street,,San Francisco,,USA,NA,Murphy,Julie,Medium
10347,30,100,3944.7,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,3004,Australia,APAC,Ferguson,Peter,Medium
10357,32,100,5691.84,12/10/2004 0:00,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,5677 Strong St.,,San Rafael,97562,USA,NA,Nelson,Valarie,Medium
10369,41,100,4514.92,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,7825 Douglas Av.,,Brickhaven,58339,USA,NA,Nelson,Allen,Medium
10381,36,100,8254.8,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,,USA,NA,Brown,Julie,Large
10391,24,100,2416.56,3/9/2005 0:00,Shipped,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",201 Miller Street,Level 15,North Sydney,2060,Australia,APAC,O'Hara,Anna,Small
10411,23,100,4140.23,5/1/2005 0:00,Shipped,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,43 rue St. Laurent,,Montreal,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium
10424,50,100,12001,5/31/2005 0:00,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,28034,Spain,EMEA,Freyre,Diego,Large
10107,39,99.91,3896.49,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,897 Long Airport Avenue,,NYC,10022,USA,NA,Yu,Kwai,Medium
10120,29,96.34,2793.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,3004,Australia,APAC,Ferguson,Peter,Small
10134,27,100,3307.77,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,27 rue du Colonel Pierre Avia,,Paris,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,37,100,5192.95,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,78934 Hillside Dr.,,Pasadena,90003,USA,NA,Young,Julie,Medium
10159,37,100,5016.83,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,,USA,NA,Brown,Julie,Medium
10168,27,100,3660.93,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,9408 Furth Circle,,Burlingame,94217,USA,NA,Hirano,Juri,Medium
10180,42,100,4695.6,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,"184, chausse de Tournai",,Lille,59000,France,EMEA,Rance,Martine,Medium
10188,38,96.34,3660.92,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,"Drammen 121, PR 744 Sentrum",,Bergen,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,24,100,3025.92,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,5557 North Pendale Street,,San Francisco,,USA,NA,Murphy,Julie,Medium
10210,23,100,3009.09,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,47,100,5422.39,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,3004,Australia,APAC,Ferguson,Peter,Medium
10236,22,100,2852.08,4/3/2004 0:00,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,11328 Douglas Av.,,Philadelphia,71270,USA,NA,Hernandez,Rosa,Small
10251,44,100,5756.52,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,7476 Moss Rd.,,Newark,94019,USA,NA,Brown,William,Medium
10263,40,100,4472,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,25593 South Bay Ln.,,Bridgewater,97562,USA,NA,King,Julie,Medium
10275,22,100,2904.44,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,"67, rue des Cinquante Otages",,Nantes,44000,France,EMEA,Labrune,Janine,Small
10285,47,100,6484.59,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,39323 Spinnaker Dr.,,Cambridge,51247,USA,NA,Hernandez,Marta,Medium
10298,39,96.34,3757.26,9/27/2004 0:00,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,"54, rue Royale",,Nantes,44000,France,EMEA,Schmitt,Carine,Medium
10308,34,100,4043.96,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,3758 North Pendale Street,,White Plains,24067,USA,NA,Frick,Steve,Medium
10318,45,100,5566.5,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,7586 Pompton St.,,Allentown,70267,USA,NA,Yu,Kyung,Medium
10329,20,100,3176,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,897 Long Airport Avenue,,NYC,10022,USA,NA,Yu,Kwai,Medium
10339,40,68.92,2756.8,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",2-2-8 Roppongi,,Minato-ku,106-0032,Japan,Japan,Shimamura,Akiko,Small
10361,26,51.15,1329.9,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,2067,Australia,APAC,Huxley,Adrian,Small
10374,39,100,5288.01,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",31 Duncan St. West End,,South Brisbane,4101,Australia,APAC,Calaghan,Tony,Medium
10388,50,44.51,2225.5,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,1785 First Street,,New Bedford,50553,USA,NA,Benitez,Violeta,Small
10402,45,100,5833.8,4/7/2005 0:00,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,"25, rue Lauriston",,Paris,75016,France,EMEA,Perrier,Dominique,Medium
10417,45,100,5887.35,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,28034,Spain,EMEA,Freyre,Diego,Medium
10107,27,100,6065.55,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,897 Long Airport Avenue,,NYC,10022,USA,NA,Yu,Kwai,Medium
10120,46,100,9264.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,3004,Australia,APAC,Ferguson,Peter,Large
10134,31,100,7023.98,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,27 rue du Colonel Pierre Avia,,Paris,75508,France,EMEA,Da Cunha,Daniel,Large
10145,33,100,5176.38,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,78934 Hillside Dr.,,Pasadena,90003,USA,NA,Young,Julie,Medium
10159,22,100,4132.7,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,,USA,NA,Brown,Julie,Medium
10168,20,100,4183,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,9408 Furth Circle,,Burlingame,94217,USA,NA,Hirano,Juri,Medium
10180,41,100,8892.9,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,"184, chausse de Tournai",,Lille,59000,France,EMEA,Rance,Martine,Large
10188,45,100,8714.7,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,"Drammen 121, PR 744 Sentrum",,Bergen,N 5804,Norway,EMEA,Oeztan,Veysel,Large
10201,49,100,8065.89,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,5557 North Pendale Street,,San Francisco,,USA,NA,Murphy,Julie,Large
10210,34,100,6123.4,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,49,100,9774.03,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,3004,Australia,APAC,Ferguson,Peter,Large
10237,39,100,7023.9,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2678 Kingston Rd.,Suite 101,NYC,10022,USA,NA,Frick,Michael,Large
10251,43,100,7078.23,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,7476 Moss Rd.,,Newark,94019,USA,NA,Brown,William,Large
10263,41,100,8336.94,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,25593 South Bay Ln.,,Bridgewater,97562,USA,NA,King,Julie,Large
10275,36,100,6901.92,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,"67, rue des Cinquante Otages",,Nantes,44000,France,EMEA,Labrune,Janine,Medium
10285,27,100,5438.07,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,39323 Spinnaker Dr.,,Cambridge,51247,USA,NA,Hernandez,Marta,Medium
10299,29,100,6683.34,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,193,S10_4698,"Toys of Finland, Co.",Keskuskatu 45,,Helsinki,21240,Finland,EMEA,Karttunen,Matti,Medium
10308,20,100,4570.4,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,193,S10_4698,Mini Classics,3758 North Pendale Street,,White Plains,24067,USA,NA,Frick,Steve,Medium
10318,37,100,7667.14,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,193,S10_4698,Diecast Classics Inc.,7586 Pompton St.,,Allentown,70267,USA,NA,Yu,Kyung,Large
10329,26,100,5868.2,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,193,S10_4698,Land of Toys Inc.,897 Long Airport Avenue,,NYC,10022,USA,NA,Yu,Kwai,Medium
10339,39,76.67,2990.13,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",2-2-8 Roppongi,,Minato-ku,106-0032,Japan,Japan,Shimamura,Akiko,Small
10362,22,100,3664.1,1/5/2005 0:00,Shipped,1,1,2005,Motorcycles,193,S10_4698,Technics Stores Inc.,9408 Furth Circle,,Burlingame,94217,USA,NA,Hirano,Juri,Medium
10374,22,100,3834.38,2/2/2005 0:00,Shipped,1,2,2005,Motorcycles,193,S10_4698,"Australian Gift Network, Co",31 Duncan St. West End,,South Brisbane,4101,Australia,APAC,Calaghan,Tony,Medium
10388,21,86.77,1822.17,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,193,S10_4698,FunGiftIdeas.com,1785 First Street,,New Bedford,50553,USA,NA,Benitez,Violeta,Small
10403,66,100,11886.6,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,,Liverpool,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large
10417,56,100,9218.16,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,193,S10_4698,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,28034,Spain,EMEA,Freyre,Diego,Large
10105,50,100,7208,2/11/2003 0:00,Shipped,1,2,2003,Classic Cars,136,S10_4757,Danish Wholesale Imports,Vinb'ltet 34,,Kobenhavn,1734,Denmark,EMEA,Petersen,Jytte,Large
10119,46,100,5004.8,4/28/2003 0:00,Shipped,2,4,2003,Classic Cars,136,S10_4757,Salzburg Collectables,Geislweg 14,,Salzburg,5020,Austria,EMEA,Pipps,Georg,Medium
10129,33,100,4398.24,6/12/2003 0:00,Shipped,2,6,2003,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",35 King George,,London,WX3 6FW,UK,EMEA,Brown,Ann,Medium
10143,49,100,5597.76,8/10/2003 0:00,Shipped,3,8,2003,Classic Cars,136,S10_4757,Mini Creations Ltd.,4575 Hillside Dr.,,New Bedford,50553,USA,NA,Tam,Wing C,Medium
10155,32,100,4526.08,10/6/2003 0:00,Shipped,4,10,2003,Classic Cars,136,S10_4757,"Toys of Finland, Co.",Keskuskatu 45,,Helsinki,21240,Finland,EMEA,Karttunen,Matti,Medium
10167,44,100,5924.16,10/23/2003 0:00,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,?kergatan 24,,Boras,S-844 67,Sweden,EMEA,Larsson,Maria,Medium
10178,24,100,3492.48,11/8/2003 0:00,Shipped,4,11,2003,Classic Cars,136,S10_4757,Alpha Cognac,1 rue Alsace-Lorraine,,Toulouse,31000,France,EMEA,Roulet,Annette,Medium
10186,26,100,3854.24,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,,London,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium
10197,45,100,5324.4,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars,136,S10_4757,Enaco Distributors,"Rambla de Catalu兀, 23",,Barcelona,8022,Spain,EMEA,Saavedra,Eduardo,Medium
10209,39,100,5197.92,1/9/2004 0:00,Shipped,1,1,2004,Classic Cars,136,S10_4757,"Men 'R' US Retailers, Ltd.",6047 Douglas Av.,,Los Angeles,,USA,NA,Chandler,Michael,Medium
10222,49,100,5997.6,2/19/2004 0:00,Shipped,1,2,2004,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,361 Furth Circle,,San Diego,91217,USA,NA,Thompson,Valarie,Medium
10248,20,100,2910.4,5/7/2004 0:00,Cancelled,2,5,2004,Classic Cars,136,S10_4757,Land of Toys Inc.,897 Long Airport Avenue,,NYC,10022,USA,NA,Yu,Kwai,Small
10261,27,100,3378.24,6/17/2004 0:00,Shipped,2,6,2004,Classic Cars,136,S10_4757,Quebec Home Shopping Network,43 rue St. Laurent,,Montreal,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium
10273,30,100,3508.8,7/21/2004 0:00,Shipped,3,7,2004,Classic Cars,136,S10_4757,Petit Auto,Rue Joseph-Bens 532,,Bruxelles,B-1180,Belgium,EMEA,Dewey,Catherine,Medium
10283,25,100,2992,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,,Tsawassen,T2F 8M4,Canada,NA,Lincoln,Elizabeth,Small
10295,24,100,3427.2,9/10/2004 0:00,Shipped,3,9,2004,Classic Cars,136,S10_4757,Gifts4AllAges.com,8616 Spinnaker Dr.,,Boston,51003,USA,NA,Yoshido,Juri,Medium
10307,22,100,2692.8,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",782 First Street,,Philadelphia,71270,USA,NA,Cervantes,Francisca,Small
10316,33,100,4128.96,11/1/2004 0:00,Shipped,4,11,2004,Classic Cars,136,S10_4757,giftsbymail.co.uk,Garden House Crowther Way,,Cowes,PO31 7PJ,UK,EMEA,Bennett,Helen,Medium
10325,47,64.93,3051.71,11/5/2004 0:00,Shipped,4,11,2004,Classic Cars,136,S10_4757,Baane Mini Imports,Erling Skakkes gate 78,,Stavern,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10337,25,48.05,1201.25,11/21/2004 0:00,Shipped,4,11,2004,Classic Cars,136,S10_4757,Classic Legends Inc.,5905 Pompton St.,Suite 750,NYC,10022,USA,NA,Hernandez,Maria,Small
10350,26,75.47,1962.22,12/2/2004 0:00,Shipped,4,12,2004,Classic Cars,136,S10_4757,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,28034,Spain,EMEA,Freyre,Diego,Small
10359,48,54.68,2624.64,12/15/2004 0:00,Shipped,4,12,2004,Classic Cars,136,S10_4757,Reims Collectables,59 rue de l'Abbaye,,Reims,51100,France,EMEA,Henriot,Paul,Small
10373,39,100,4046.25,1/31/2005 0:00,Shipped,1,1,2005,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",Torikatu 38,,Oulu,90110,Finland,EMEA,Koskitalo,Pirkko,Medium
